Competition ID,Competition,Sport,Opseg vremena,mean,percentile_20,percentile_40,percentile_60,percentile_80,percentile_90,percentile_95,percentile_99.9,start_hour,end_hour
3040,Liga Nacija Play off,Fudbal,"(0, 1]",4142842.981214189,2989009.423299333,3805691.709321492,4418287.87806189,5284335.264120046,5780721.761478565,6028915.010157823,6272144.393863497,0,1
5,Liga Sampiona,Fudbal,"(0, 1]",3042917.529794979,1968544.1473325433,2537340.9679945945,3288699.2658174764,4302696.3326964155,5089538.5461856015,5617222.528929574,8207522.02971235,0,1
961,Spanija Super Kup,Fudbal,"(0, 1]",2436785.623377067,1919300.159404003,2202305.7536637983,2541097.591473616,2935675.672833457,3132964.7135133776,3231609.2338533374,3328280.8637864986,0,1
1351,Italija Super Kup,Fudbal,"(0, 1]",2279466.198710978,2279466.198710978,2279466.198710978,2279466.198710978,2279466.198710978,2279466.198710978,2279466.198710978,2279466.198710978,0,1
5,Liga Sampiona,Fudbal,"(1, 2]",1767268.6756976608,999515.0533150171,1451720.932173116,1951294.2329755956,2444983.3689191546,2842669.207192345,3153289.8405188913,7258119.371731883,1,2
3040,Liga Nacija Play off,Fudbal,"(1, 2]",1755465.0244324217,1515435.966927935,2113839.0901559726,2131386.792786829,2142353.2487525004,2146191.1650690394,2148110.1232273094,2149990.702222414,1,2
34,Italija 1,Fudbal,"(0, 1]",1667835.2491741532,513183.8380562534,1167115.4961031456,1773929.5812194792,2608408.822311675,3266755.526738557,3825145.608642757,6052988.23695258,0,1
1351,Italija Super Kup,Fudbal,"(1, 2]",1629227.8252575954,1629227.8252575954,1629227.8252575954,1629227.8252575954,1629227.8252575954,1629227.8252575954,1629227.8252575954,1629227.8252575954,1,2
9,Engleska 1,Fudbal,"(0, 1]",1596372.0800377133,247857.39850147392,949317.538329243,1771641.9153799172,3007666.2211450804,3619720.438334993,4090142.7775245584,6162461.450012775,0,1
5,Liga Sampiona,Fudbal,"(2, 3]",1476538.191731692,742526.2396265389,1179256.5893895996,1620954.0201415257,2101703.404747217,2483630.412889264,2730519.0146623463,6830209.67428634,2,3
